region,family,processor,vCPU,ram(GB),price($/h),daily_price,weekly_price,monthly_price
af-south-1,c6g,AWS Graviton2,1,2.0,0.0456,1.0944,7.661,33.29
af-south-1,c6g,AWS Graviton2,2,4.0,0.0912,2.1888,15.322,66.58
af-south-1,c6g,AWS Graviton2,4,8.0,0.1824,4.3776,30.643,133.15
af-south-1,c6g,AWS Graviton2,8,16.0,0.3648,8.7552,61.286,266.3
af-south-1,c6g,AWS Graviton2,16,32.0,0.7296,17.5104,122.573,532.61
af-south-1,c6g,AWS Graviton2,32,64.0,1.4592,35.0208,245.146,1065.22
af-south-1,c6g,AWS Graviton2,48,96.0,2.1888,52.5312,367.718,1597.82
af-south-1,c6g,AWS Graviton2,64,128.0,2.9184,70.0416,490.291,2130.43
af-south-1,c6i,Intel Xeon Platinum 8375C,2,4.0,0.114,2.736,19.152,83.22
af-south-1,c6i,Intel Xeon Platinum 8375C,4,8.0,0.228,5.472,38.304,166.44
af-south-1,c6i,Intel Xeon Platinum 8375C,8,16.0,0.456,10.944,76.608,332.88
af-south-1,c6i,Intel Xeon Platinum 8375C,16,32.0,0.912,21.888,153.216,665.76
af-south-1,c6i,Intel Xeon Platinum 8375C,32,64.0,1.824,43.776,306.432,1331.52
af-south-1,c6i,Intel Xeon Platinum 8375C,48,96.0,2.736,65.664,459.648,1997.28
af-south-1,c6i,Intel Xeon Platinum 8375C,64,128.0,3.648,87.552,612.864,2663.04
af-south-1,c6i,Intel Xeon Platinum 8375C,96,192.0,5.472,131.328,919.296,3994.56
af-south-1,c6i,Intel Xeon Platinum 8375C,128,256.0,7.296,175.104,1225.728,5326.08
af-south-1,c7g,AWS Graviton3,1,2.0,0.0485,1.164,8.148,35.4
af-south-1,c7g,AWS Graviton3,2,4.0,0.0969,2.3256,16.279,70.74
af-south-1,c7g,AWS Graviton3,4,8.0,0.1938,4.6512,32.558,141.47
af-south-1,c7g,AWS Graviton3,8,16.0,0.3876,9.3024,65.117,282.95
af-south-1,c7g,AWS Graviton3,16,32.0,0.7752,18.6048,130.234,565.9
af-south-1,c7g,AWS Graviton3,32,64.0,1.5504,37.2096,260.467,1131.79
af-south-1,c7g,AWS Graviton3,48,96.0,2.3256,55.8144,390.701,1697.69
af-south-1,c7g,AWS Graviton3,64,128.0,3.1008,74.4192,520.934,2263.58
af-south-1,c7i,Intel Xeon Platinum 8488C,2,4.0,0.1197,2.8728,20.11,87.38
af-south-1,c7i,Intel Xeon Platinum 8488C,4,8.0,0.2394,5.7456,40.219,174.76
af-south-1,c7i,Intel Xeon Platinum 8488C,8,16.0,0.4788,11.4912,80.438,349.52
af-south-1,c7i,Intel Xeon Platinum 8488C,16,32.0,0.9576,22.9824,160.877,699.05
af-south-1,c7i,Intel Xeon Platinum 8488C,32,64.0,1.9152,45.9648,321.754,1398.1
af-south-1,c7i,Intel Xeon Platinum 8488C,48,96.0,2.8728,68.9472,482.63,2097.14
af-south-1,c7i,Intel Xeon Platinum 8488C,64,128.0,3.8304,91.9296,643.507,2796.19
af-south-1,c7i,Intel Xeon Platinum 8488C,96,192.0,5.7456,137.8944,965.261,4194.29
af-south-1,c7i,Intel Xeon Platinum 8488C,192,384.0,11.4912,275.7888,1930.522,8388.58
af-south-1,c8g,AWS Graviton4,1,2.0,0.0533,1.2792,8.954,38.91
af-south-1,c8g,AWS Graviton4,2,4.0,0.1066,2.5584,17.909,77.82
af-south-1,c8g,AWS Graviton4,4,8.0,0.2132,5.1168,35.818,155.64
af-south-1,c8g,AWS Graviton4,8,16.0,0.4264,10.2336,71.635,311.27
af-south-1,c8g,AWS Graviton4,16,32.0,0.8528,20.4672,143.27,622.54
af-south-1,c8g,AWS Graviton4,32,64.0,1.7056,40.9344,286.541,1245.09
af-south-1,c8g,AWS Graviton4,48,96.0,2.5584,61.4016,429.811,1867.63
af-south-1,c8g,AWS Graviton4,64,128.0,3.4112,81.8688,573.082,2490.18
af-south-1,c8g,AWS Graviton4,96,192.0,5.1168,122.8032,859.622,3735.26
af-south-1,c8g,AWS Graviton4,192,384.0,10.2336,245.6064,1719.245,7470.53
af-south-1,c8i,Intel Xeon 6 6975P-C,2,4.0,0.12569,3.0166,21.116,91.75
af-south-1,c8i,Intel Xeon 6 6975P-C,4,8.0,0.25138,6.0331,42.232,183.51
