provider,geo,state,country
OCI,Stati Uniti orientali (Ashburn),Virginia,United States
OCI,Midwest degli Stati Uniti (Chicago),Illinois,United States
OCI,Stati Uniti occidentali (Phoenix),Arizona,United States
OCI,Stati Uniti occidentali (San Jose),California,United States
OCI,Canada sud-orientale (Montreal),Canada,Canada
OCI,Canada sud-orientale (Toronto),Canada,Canada
OCI,Messico centrale (Querétaro),Mexico,Mexico
OCI,Messico nord-orientale (Monterrey),Mexico,Mexico
OCI,Brasile orientale (San Paolo),Brazil,Brazil
OCI,Brasile sud-orientale (Vinhedo),Brazil,Brazil
OCI,Cile centrale (Santiago),Chile,Chile
OCI,Cile occidentale (Valparaiso),Chile,Chile
OCI,Colombia centrale (Bogotà),Colombia,Colombia
OCI,Francia centrale (Parigi),France,France
OCI,Francia meridionale (Marsiglia),France,France
OCI,Germania centrale (Francoforte),Germany,Germany
OCI,Italia nord-occidentale (Milano),Italy,Italy
OCI,Italia settentrionale (Torino),Italy,Italy
OCI,Paesi Bassi nord-occidentali (Amsterdam),Netherlands,Netherlands
OCI,Serbia Centrale (Jovanovac),Serbia,Serbia
OCI,Spagna centrale (Madrid),Spain,Spain
OCI,Spagna centrale 2 (Madrid),Spain,Spain
OCI,Svezia centrale (Stoccolma),Sweden,Sweden
OCI,Svizzera nord (Zurigo),Switzerland,Switzerland
OCI,Regno Unito sud (Londra),United Kingdom,United Kingdom
OCI,Regno Unito occidentale (Newport),United Kingdom,United Kingdom
OCI,Kenya,Kenya,Kenya
OCI,Marocco occidentale (Casablanca),Morocco,Morocco
OCI,Marocco 2,Morocco,Morocco
OCI,Sud Africa centrale (Johannesburg),South Africa,South Africa
OCI,Israele centrale (Gerusalemme),Israel,Israel
OCI,Arabia Saudita occidentale (Gedda),Saudi Arabia,Saudi Arabia
OCI,Arabia Saudita centrale (Riyad),Saudi Arabia,Saudi Arabia
OCI,Emirati Arabi Uniti orientali (Dubai),United Arab Emirates,United Arab Emirates
OCI,Emirati Arabi Uniti centrali (Abu Dhabi),United Arab Emirates,United Arab Emirates
OCI,India occidentale (Mumbai),India,India
OCI,India del sud (Hyderabad),India,India
OCI,Indonesia settentrionale (Batam),Indonesia,Indonesia
OCI,Giappone orientale (Tokyo),Japan,Japan
OCI,Giappone centrale (Osaka),Japan,Japan
OCI,Malesia occidentale (Kulai),Malaysia,Malaysia
OCI,Singapore (Singapore),Singapore,Singapore
OCI,Regione occidentale di Singapore (Singapore),Singapore,Singapore
OCI,Corea del Sud centrale (Seul),South Korea,South Korea
OCI,Corea del Sud settentrionale (Chuncheon),South Korea,South Korea
OCI,Australia orientale (Sydney),Australia,Australia
OCI,Australia sud-orientale (Melbourne),Australia,Australia
AWS,us-east-1,Virginia,United States
AWS,us-east-2,Ohio,United States
AWS,us-west-1,California,United States
AWS,us-west-2,Oregon,United States
AWS,ca-central-1,Canada,Canada
AWS,ca-west-1,Canada,Canada
AWS,mx-central-1,Mexico,Mexico
AWS,sa-east-1,Brazil,Brazil
AWS,eu-central-1,Germany,Germany
AWS,eu-central-2,Switzerland,Switzerland
AWS,eu-west-1,Ireland,Ireland
AWS,eu-west-2,United Kingdom,United Kingdom
AWS,eu-west-3,France,France
AWS,eu-south-1,Italy,Italy
AWS,eu-south-2,Spain,Spain
AWS,eu-north-1,Sweden,Sweden
AWS,af-south-1,South Africa,South Africa
AWS,il-central-1,Israel,Israel
AWS,me-south-1,Bahrain,Bahrain
AWS,me-central-1,United Arab Emirates,United Arab Emirates
AWS,ap-east-1,Hong Kong,Hong Kong
AWS,ap-east-2,Taiwan,Taiwan
AWS,ap-south-1,India,India
AWS,ap-south-2,India,India
AWS,ap-southeast-1,Singapore,Singapore
AWS,ap-southeast-3,Indonesia,Indonesia
AWS,ap-southeast-5,Malaysia,Malaysia
AWS,ap-southeast-7,Thailand,Thailand
AWS,ap-northeast-1,Japan,Japan
AWS,ap-northeast-2,South Korea,South Korea
AWS,ap-northeast-3,Japan,Japan
AWS,ap-southeast-2,Australia,Australia
AWS,ap-southeast-4,Australia,Australia
AWS,ap-southeast-6,New Zealand,New Zealand
