region,shape,processor,vCPU,ram(GB),price($/h)
af-south-1,c6g,AWS Graviton2 Processor,1,2.0,0.0456
af-south-1,c6g,AWS Graviton2 Processor,2,4.0,0.0912
af-south-1,c6g,AWS Graviton2 Processor,4,8.0,0.1824
af-south-1,c6g,AWS Graviton2 Processor,8,16.0,0.3648
af-south-1,c6g,AWS Graviton2 Processor,16,32.0,0.7296
af-south-1,c6g,AWS Graviton2 Processor,32,64.0,1.4592
af-south-1,c6g,AWS Graviton2 Processor,48,96.0,2.1888
af-south-1,c6g,AWS Graviton2 Processor,64,128.0,2.9184
af-south-1,c6i,Intel Xeon Platinum 8375C,2,4.0,0.114
af-south-1,c6i,Intel Xeon Platinum 8375C,4,8.0,0.228
af-south-1,c6i,Intel Xeon Platinum 8375C,8,16.0,0.456
af-south-1,c6i,Intel Xeon Platinum 8375C,16,32.0,0.912
af-south-1,c6i,Intel Xeon Platinum 8375C,32,64.0,1.824
af-south-1,c6i,Intel Xeon Platinum 8375C,48,96.0,2.736
af-south-1,c6i,Intel Xeon Platinum 8375C,64,128.0,3.648
af-south-1,c6i,Intel Xeon Platinum 8375C,96,192.0,5.472
af-south-1,c6i,Intel Xeon Platinum 8375C,128,256.0,7.296
af-south-1,c7g,AWS Graviton3 Processor,1,2.0,0.0485
af-south-1,c7g,AWS Graviton3 Processor,2,4.0,0.0969
af-south-1,c7g,AWS Graviton3 Processor,4,8.0,0.1938
af-south-1,c7g,AWS Graviton3 Processor,8,16.0,0.3876
af-south-1,c7g,AWS Graviton3 Processor,16,32.0,0.7752
af-south-1,c7g,AWS Graviton3 Processor,32,64.0,1.5504
af-south-1,c7g,AWS Graviton3 Processor,48,96.0,2.3256
af-south-1,c7g,AWS Graviton3 Processor,64,128.0,3.1008
af-south-1,c7i,Intel Xeon Platinum 8488C,2,4.0,0.1197
af-south-1,c7i,Intel Xeon Platinum 8488C,4,8.0,0.2394
af-south-1,c7i,Intel Xeon Platinum 8488C,8,16.0,0.4788
af-south-1,c7i,Intel Xeon Platinum 8488C,16,32.0,0.9576
af-south-1,c7i,Intel Xeon Platinum 8488C,32,64.0,1.9152
af-south-1,c7i,Intel Xeon Platinum 8488C,48,96.0,2.8728
af-south-1,c7i,Intel Xeon Platinum 8488C,64,128.0,3.8304
af-south-1,c7i,Intel Xeon Platinum 8488C,96,192.0,5.7456
af-south-1,c7i,Intel Xeon Platinum 8488C,192,384.0,11.4912
af-south-1,c8g,AWS Graviton4 Processor,1,2.0,0.0533
af-south-1,c8g,AWS Graviton4 Processor,2,4.0,0.1066
af-south-1,c8g,AWS Graviton4 Processor,4,8.0,0.2132
af-south-1,c8g,AWS Graviton4 Processor,8,16.0,0.4264
af-south-1,c8g,AWS Graviton4 Processor,16,32.0,0.8528
af-south-1,c8g,AWS Graviton4 Processor,32,64.0,1.7056
af-south-1,c8g,AWS Graviton4 Processor,48,96.0,2.5584
af-south-1,c8g,AWS Graviton4 Processor,64,128.0,3.4112
af-south-1,c8g,AWS Graviton4 Processor,96,192.0,5.1168
af-south-1,c8g,AWS Graviton4 Processor,192,384.0,10.2336
af-south-1,c8i,Intel Xeon 6 6975P-C,2,4.0,0.12569
af-south-1,c8i,Intel Xeon 6 6975P-C,4,8.0,0.25138
af-south-1,c8i,Intel Xeon 6 6975P-C,8,16.0,0.50276
af-south-1,c8i,Intel Xeon 6 6975P-C,16,32.0,1.00552
af-south-1,c8i,Intel Xeon 6 6975P-C,32,64.0,2.01104
af-south-1,c8i,Intel Xeon 6 6975P-C,48,96.0,3.01656
af-south-1,c8i,Intel Xeon 6 6975P-C,64,128.0,4.02208
af-south-1,c8i,Intel Xeon 6 6975P-C,96,192.0,6.03312
af-south-1,c8i,Intel Xeon 6 6975P-C,128,256.0,8.04416
af-south-1,c8i,Intel Xeon 6 6975P-C,192,384.0,12.06624
af-south-1,c8i,Intel Xeon 6 6975P-C,384,768.0,24.13248
af-south-1,m6g,AWS Graviton2 Processor,1,4.0,0.0508
af-south-1,m6g,AWS Graviton2 Processor,2,8.0,0.1016
af-south-1,m6g,AWS Graviton2 Processor,4,16.0,0.2032
af-south-1,m6g,AWS Graviton2 Processor,8,32.0,0.4064
af-south-1,m6g,AWS Graviton2 Processor,16,64.0,0.8128
af-south-1,m6g,AWS Graviton2 Processor,32,128.0,1.6256
af-south-1,m6g,AWS Graviton2 Processor,48,192.0,2.4384
af-south-1,m6g,AWS Graviton2 Processor,64,256.0,3.2512
af-south-1,m6i,Intel Xeon Platinum 8375C,2,8.0,0.127
af-south-1,m6i,Intel Xeon Platinum 8375C,4,16.0,0.254
af-south-1,m6i,Intel Xeon Platinum 8375C,8,32.0,0.508
af-south-1,m6i,Intel Xeon Platinum 8375C,16,64.0,1.016
af-south-1,m6i,Intel Xeon Platinum 8375C,32,128.0,2.032
af-south-1,m6i,Intel Xeon Platinum 8375C,48,192.0,3.048
af-south-1,m6i,Intel Xeon Platinum 8375C,64,256.0,4.064
af-south-1,m6i,Intel Xeon Platinum 8375C,96,384.0,6.096
af-south-1,m6i,Intel Xeon Platinum 8375C,128,512.0,8.128
af-south-1,m7g,AWS Graviton3 Processor,1,4.0,0.054
af-south-1,m7g,AWS Graviton3 Processor,2,8.0,0.108
af-south-1,m7g,AWS Graviton3 Processor,4,16.0,0.2159
af-south-1,m7g,AWS Graviton3 Processor,8,32.0,0.4318
af-south-1,m7g,AWS Graviton3 Processor,16,64.0,0.8637
af-south-1,m7g,AWS Graviton3 Processor,32,128.0,1.7274
af-south-1,m7g,AWS Graviton3 Processor,48,192.0,2.591
af-south-1,m7g,AWS Graviton3 Processor,64,256.0,3.4547
af-south-1,m7i,Intel Xeon Platinum 8488C,2,8.0,0.13335
af-south-1,m7i,Intel Xeon Platinum 8488C,4,16.0,0.2667
af-south-1,m7i,Intel Xeon Platinum 8488C,8,32.0,0.5334
af-south-1,m7i,Intel Xeon Platinum 8488C,16,64.0,1.0668
af-south-1,m7i,Intel Xeon Platinum 8488C,32,128.0,2.1336
af-south-1,m7i,Intel Xeon Platinum 8488C,48,192.0,3.2004
af-south-1,m7i,Intel Xeon Platinum 8488C,64,256.0,4.2672
af-south-1,m7i,Intel Xeon Platinum 8488C,96,384.0,6.4008
af-south-1,m7i,Intel Xeon Platinum 8488C,192,768.0,12.8016
af-south-1,m8g,AWS Graviton4 Processor,1,4.0,0.05938
af-south-1,m8g,AWS Graviton4 Processor,2,8.0,0.11876
af-south-1,m8g,AWS Graviton4 Processor,4,16.0,0.23752
af-south-1,m8g,AWS Graviton4 Processor,8,32.0,0.47504
af-south-1,m8g,AWS Graviton4 Processor,16,64.0,0.95008
af-south-1,m8g,AWS Graviton4 Processor,32,128.0,1.90016
af-south-1,m8g,AWS Graviton4 Processor,48,192.0,2.85024
af-south-1,m8g,AWS Graviton4 Processor,64,256.0,3.80032
af-south-1,m8g,AWS Graviton4 Processor,96,384.0,5.70048
af-south-1,m8g,AWS Graviton4 Processor,192,768.0,11.40096
af-south-1,m8i,Intel Xeon 6 6975P-C,2,8.0,0.14002
af-south-1,m8i,Intel Xeon 6 6975P-C,4,16.0,0.28004
af-south-1,m8i,Intel Xeon 6 6975P-C,8,32.0,0.56008
af-south-1,m8i,Intel Xeon 6 6975P-C,16,64.0,1.12016
af-south-1,m8i,Intel Xeon 6 6975P-C,32,128.0,2.24032
af-south-1,m8i,Intel Xeon 6 6975P-C,48,192.0,3.36048
af-south-1,m8i,Intel Xeon 6 6975P-C,64,256.0,4.48064
af-south-1,m8i,Intel Xeon 6 6975P-C,96,384.0,6.72096
