provider,region,state,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
oci,global,global,A1,ARM,Ampere Altra Q80-30,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,2,32,0.0,0.0,0.0,0.0,0.0,0.0,8.04,8.04
oci,global,global,A1,ARM,Ampere Altra Q80-30,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oci,global,global,A1,ARM,Ampere Altra Q80-30,4,32,0.0,0.0,0.0,0.0,0.0,0.0,8.04,8.04
oci,global,global,A1,ARM,Ampere Altra Q80-30,4,64,0.0,0.0,0.0,0.0,0.0,0.0,43.08,43.08
oci,global,global,A1,ARM,Ampere Altra Q80-30,8,16,0.0,0.0,0.0,0.0,0.0,0.0,28.4,28.4
oci,global,global,A1,ARM,Ampere Altra Q80-30,8,32,0.0,0.0,0.0,0.0,0.0,0.0,36.44,36.44
oci,global,global,A1,ARM,Ampere Altra Q80-30,8,64,0.0,0.0,0.0,0.0,0.0,0.0,71.48,71.48
oci,global,global,A1,ARM,Ampere Altra Q80-30,8,128,0.0,0.0,0.0,0.0,5.26,5.26,141.56,141.56
oci,global,global,A1,ARM,Ampere Altra Q80-30,16,32,0.0,0.0,0.0,0.0,0.0,0.0,94.84,94.84
oci,global,global,A1,ARM,Ampere Altra Q80-30,16,64,0.0,0.0,0.0,0.0,0.0,0.0,129.88,129.88
oci,global,global,A1,ARM,Ampere Altra Q80-30,16,128,0.0,0.0,0.0,0.0,5.26,5.26,199.96,199.96
oci,global,global,A1,ARM,Ampere Altra Q80-30,16,256,0.0,0.0,0.0,0.0,37.51,37.51,340.12,340.12
oci,global,global,A1,ARM,Ampere Altra Q80-30,32,64,0.0,0.0,0.0,0.0,23.76,23.76,246.68,246.68
oci,global,global,A1,ARM,Ampere Altra Q80-30,32,128,0.0,0.0,0.0,0.0,29.02,29.02,316.76,316.76
oci,global,global,A1,ARM,Ampere Altra Q80-30,32,256,0.0,0.0,0.0,0.0,61.27,61.27,456.92,456.92
oci,global,global,A1,ARM,Ampere Altra Q80-30,48,96,0.0,0.0,0.0,0.0,50.64,50.64,398.52,398.52
oci,global,global,A1,ARM,Ampere Altra Q80-30,48,192,0.0,0.0,0.0,0.0,72.02,72.02,503.64,503.64
oci,global,global,A1,ARM,Ampere Altra Q80-30,48,384,0.0,0.0,0.0,0.0,120.41,120.41,713.88,713.88
oci,global,global,A1,ARM,Ampere Altra Q80-30,64,128,0.0,0.0,0.0,0.0,82.78,82.78,550.36,550.36
oci,global,global,A1,ARM,Ampere Altra Q80-30,64,256,0.0,0.0,0.0,0.0,115.03,115.03,690.52,690.52
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,2,4,0.022,0.022,0.53,0.53,3.7,3.7,16.06,16.06
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,2,8,0.03,0.03,0.72,0.72,5.04,5.04,21.9,21.9
oci,global,global,A2,ARM,Ampere AmpereOne A160-30,2,16,0.046,0.046,1.1,1.1,7.73,7.73,33.58,33.58
