family,processor,vCPU,ram(GB),price($/h),daily_price,weekly_price,monthly_price
A1,Ampere Altra Q80-30,1,2.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,1,4.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,1,8.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,1,16.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,2,4.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,2,8.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,2,16.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,2,32.0,0.0,0.0,0.0,8.04
A1,Ampere Altra Q80-30,4,8.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,4,16.0,0.0,0.0,0.0,0.0
A1,Ampere Altra Q80-30,4,32.0,0.0,0.0,0.0,8.04
A1,Ampere Altra Q80-30,4,64.0,0.0,0.0,0.0,43.08
A1,Ampere Altra Q80-30,8,16.0,0.0,0.0,0.0,28.4
A1,Ampere Altra Q80-30,8,32.0,0.0,0.0,0.0,36.44
A1,Ampere Altra Q80-30,8,64.0,0.0,0.0,0.0,71.48
A1,Ampere Altra Q80-30,8,128.0,0.0,0.0,5.26,141.56
A1,Ampere Altra Q80-30,16,32.0,0.0,0.0,0.0,94.84
A1,Ampere Altra Q80-30,16,64.0,0.0,0.0,0.0,129.88
A1,Ampere Altra Q80-30,16,128.0,0.0,0.0,5.26,199.96
A1,Ampere Altra Q80-30,16,256.0,0.0,0.0,37.51,340.12
A1,Ampere Altra Q80-30,32,64.0,0.0,0.0,23.76,246.68
A1,Ampere Altra Q80-30,32,128.0,0.0,0.0,29.02,316.76
A1,Ampere Altra Q80-30,32,256.0,0.0,0.0,61.27,456.92
A1,Ampere Altra Q80-30,48,96.0,0.0,0.0,50.64,398.52
A1,Ampere Altra Q80-30,48,192.0,0.0,0.0,72.02,503.64
A1,Ampere Altra Q80-30,48,384.0,0.0,0.0,120.41,713.88
